,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
288,SHLM,19312,2013,1.83,2.06,2.16,2.15,4,0.01,2.5455136779173,0.511959823286741,0.1024,0.1089
289,SMG,19312,2013,2.79,2.01,2.56,2.58,12,0.08,2.26058446492196,0.280280808781965,0.0441,0.0529
290,SHW,19039,2013,6.49,4.84,5.72,5.67,18,0.16,5.1354458123139,1.83481704737796,0.6724,0.592900000000001
291,SNA,19039,2013,5.2,4.53,4.87,4.99,4,0.25,4.60865009421248,0.349694711074904,0.0441,0.1089
292,SON,19039,2013,2.21,2.29,2.35,2.35,13,0.02,2.51698448254387,0.0942394725227307,0.0196,0.0196
293,SNE,19158,2013,0.43,-5.55,0.33,0.33,1,NA,-0.819617683148595,1.56154435403766,0.01,0.01
294,TRK,19067,2013,1.01,1.14,1.06,1.12,3,0.14,1.42707438498453,0.173951042610223,0.0121,0.0025
295,SPLS,19067,2013,1.39,1.38,1.5,1.5,21,0.03,1.39242507478402,5.8809877081122e-06,0.0121,0.0121
296,SBUX,19312,2013,2.26,1.79,2.15,2.15,29,0.03,1.83678586620846,0.179110203040925,0.0121,0.0121
297,STLD,19039,2013,0.76,1.23,1.53,1.5,18,0.13,1.02454698729969,0.0699851084893435,0.5476,0.5929
298,STE,19130,2013,2.28,2.16,2.13,2.15,7,0.03,2.21317510232188,0.00446556694969136,0.0169,0.0225
299,SYK,19039,2013,4.07,3.72,4.11,4.11,29,0.03,3.86660404340116,0.0413699151607578,0.0016,0.0016
300,SUP,19067,2013,1.13,1.48,1.12,1.11,4,0.12,1.24630830066821,0.0135276208043268,0.000399999999999992,9.99999999999957e-05
301,SVU,18402,2011,1.39,1.93,1.81,1.85,15,0.1,2.17278116496246,0.612746352219984,0.2116,0.1764
302,SYMC,19130,2013,1.77,1.61,1.67,1.69,30,0.05,1.59966881657925,0.0290127120455144,0.00640000000000001,0.01
303,SNPS,19347,2013,2.44,2.1,2.29,2.29,6,0.02,2.36715722246971,0.00530607023832745,0.0225,0.0225
304,SYY,19221,2013,1.78,1.93,1.97,1.97,14,0.07,1.94487734336983,0.0271845383566925,0.0361,0.0361
305,TJX,19067,2013,2.55,1.99,2.31,2.31,28,0.04,2.19696495979164,0.124633739614919,0.0575999999999999,0.0575999999999999
306,TSM,19067,2013,1.08,0.88,0.95,0.94,6,0.05,1.00848195337737,0.00511483099271613,0.0196,0.0169
307,TECD,19067,2013,4.81,5.09,5.71,5.75,9,0.26,4.25146074879253,0.3119660951394,0.883600000000001,0.810000000000001
308,TFX,19067,2013,4.4,3.93,4.35,4.36,5,0.04,3.47348900541832,0.858422623080741,0.0016,0.00250000000000007
309,TLAB,18675,2012,-0.05,0.39,0,0.01,13,0.07,0.506054698001756,0.309196827169825,0.0036,0.0025
310,TIN,17576,2009,0.1,0.74,0.5,0.45,11,0.21,0.187786525966697,0.0077064741413015,0.1225,0.16
311,TER,19039,2013,1.67,1.39,1.49,1.48,14,0.15,1.37648761606667,0.0861495195222294,0.0361,0.0324
